ISO,CountryName,Year,Pneumonia,Diarrhoea,Malaria,Aids,Measles,Injury,Meningitis,Other
PRT,Portugal,2000,3.7,0.2,0.2,0.2,0.0,9.5,4.4,23.0
QAT,Qatar,2000,5.2,0.8,0.0,0.1,0.0,9.8,0.8,20.3
ROU,Romania,2000,31.1,2.3,0.0,0.1,0.0,8.1,2.5,9.4
RUS,Russian Federation,2000,13.8,1.8,0.0,1.0,0.0,9.0,2.1,13.7
RWA,Rwanda,2000,20.8,18.4,5.7,4.9,1.1,4.0,7.1,11.6
KNA,Saint Kitts & Nevis,2000,2.6,2.6,0.0,0.0,0.0,1.7,0.0,23.0
LCA,Saint Lucia,2000,4.0,2.3,0.0,2.2,0.0,5.7,0.8,19.6
WSM,Samoa,2000,13.2,4.7,0.0,0.0,0.0,7.2,1.5,13.7
SMR,San Marino,2000,5.2,0.2,0.0,0.0,0.0,18.8,3.0,34.9
STP,Sao Tome & Principe,2000,16.6,11.5,20.7,1.8,0.2,4.3,2.6,11.4
SAU,Saudi Arabia,2000,9.8,2.6,0.0,0.0,0.1,9.0,0.8,18.3
SEN,Senegal,2000,18.6,14.9,8.3,0.4,7.9,4.0,4.7,11.1
SRB,Serbia,2000,5.4,0.9,0.0,0.3,0.0,4.8,1.4,8.5
SYC,Seychelles,2000,6.6,1.2,0.0,0.0,0.0,8.3,1.0,14.8
SLE,Sierra Leone,2000,12.8,13.6,26.0,0.5,15.8,2.0,2.6,7.1
SGP,Singapore,2000,8.8,0.0,0.0,0.0,0.0,6.3,4.0,22.1
SVK,Slovakia,2000,11.4,1.3,0.0,0.0,0.0,5.2,1.5,15.0
SVN,Slovenia,2000,0.0,0.0,0.0,0.0,0.0,6.6,0.0,9.8
SLB,Solomon Islands,2000,16.4,7.7,12.1,0.0,0.0,5.6,2.9,10.2
SOM,Somalia,2000,17.7,15.7,1.1,0.4,26.2,3.3,3.9,8.1
ZAF,South Africa,2000,14.6,11.7,0.2,28.5,0.6,5.0,1.3,15.1
SSD,South Sudan,2000,18.8,15.9,12.8,1.5,3.4,3.3,4.4,8.1
ESP,Spain,2000,2.0,0.2,0.0,0.1,0.0,5.5,2.9,18.4
LKA,Sri Lanka,2000,10.1,4.1,0.3,0.0,0.0,6.1,0.9,18.6
VCT,St Vincent & the Grenadines,2000,3.3,3.4,0.0,3.2,0.0,6.8,1.1,15.8
SDN,Sudan,2000,21.1,15.0,2.2,0.1,5.6,5.1,5.0,12.1
SUR,Suriname,2000,8.2,6.6,3.0,1.2,0.0,8.2,2.1,15.0
SWZ,Swaziland,2000,15.9,12.3,0.0,35.2,0.0,3.6,2.0,10.5
SWE,Sweden,2000,1.8,0.0,0.0,0.0,0.0,4.2,1.3,16.9
CHE,Switzerland,2000,1.5,0.3,0.0,0.0,0.0,8.0,2.0,20.6
SYR,Syria,2000,14.4,9.5,0.0,0.0,0.1,4.2,0.6,11.8
TJK,Tajikistan,2000,22.6,15.5,0.0,0.3,0.0,6.0,4.5,17.0
TZA,Tanzania,2000,18.0,13.6,12.7,9.9,2.0,3.9,3.6,10.2
THA,Thailand,2000,13.0,4.8,1.0,3.5,0.2,4.6,1.1,13.4
TLS,Timor Leste,2000,22.5,16.1,7.2,0.0,0.0,5.5,3.3,11.7
TGO,Togo,2000,11.8,8.4,26.9,4.0,10.2,2.5,2.1,6.3
TON,Tonga,2000,12.8,4.9,0.0,0.0,0.0,8.9,1.7,18.0
TTO,Trinidad and Tobago,2000,3.2,1.0,0.0,3.0,0.0,2.5,1.2,9.7
TUN,Tunisia,2000,15.2,5.5,0.0,0.0,0.0,4.9,0.7,14.9
TUR,Turkey,2000,8.1,1.0,0.0,0.0,0.0,3.3,0.7,27.1
TKM,Turkmenistan,2000,21.1,14.3,0.0,0.0,0.0,6.0,2.8,17.2
TUV,Tuvalu,2000,17.9,6.0,0.0,0.0,0.0,6.3,1.5,12.7
UGA,Uganda,2000,13.2,10.1,27.2,7.5,7.0,2.8,2.7,7.3
UKR,Ukraine,2000,14.7,2.0,0.0,3.7,0.2,6.5,1.6,10.5
ARE,United Arab Emirates,2000,5.4,0.8,0.0,0.0,0.0,8.7,0.8,20.7
